Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Barbie,"$1,437,819,277","$634,619,277",44.1%,"$803,200,000",55.9%
2,The Super Mario Bros. Movie,"$1,361,958,330","$574,934,330",42.2%,"$787,024,000",57.8%
3,Oppenheimer,"$939,358,565","$323,348,565",34.4%,"$616,010,000",65.6%
4,Guardians of the Galaxy Vol. 3,"$845,555,777","$358,995,815",42.5%,"$486,559,962",57.5%
5,Fast X,"$704,709,660","$145,960,660",20.7%,"$558,749,000",79.3%
6,Spider-Man: Across the Spider-Verse,"$690,001,944","$381,311,319",55.3%,"$308,690,625",44.7%
7,The Little Mermaid,"$569,626,289","$298,172,056",52.3%,"$271,454,233",47.7%
8,Mission: Impossible - Dead Reckoning Part One,"$567,535,383","$172,135,383",30.3%,"$395,400,000",69.7%
9,Elemental,"$492,295,642","$154,426,697",31.4%,"$337,868,945",68.6%
10,Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909",45.1%,"$261,566,271",54.9%
11,Transformers: Rise of the Beasts,"$438,966,392","$157,066,392",35.8%,"$281,900,000",64.2%
12,John Wick: Chapter 4,"$431,767,070","$187,131,806",43.3%,"$244,635,264",56.7%
13,Meg 2: The Trench,"$394,997,306","$82,597,306",20.9%,"$312,400,000",79.1%
14,Indiana Jones and the Dial of Destiny,"$383,827,783","$174,480,468",45.5%,"$209,347,315",54.5%
15,Creed III,"$275,248,615","$156,248,615",56.8%,"$119,000,000",43.2%
16,The Flash,"$270,633,313","$108,133,313",40%,"$162,500,000",60%
17,The Nun II,"$249,631,647","$81,931,647",32.8%,"$167,700,000",67.2%
18,Sound of Freedom,"$234,435,634","$184,038,874",78.5%,"$50,396,760",21.5%
19,Dungeons & Dragons: Honor Among Thieves,"$208,177,026","$93,277,026",44.8%,"$114,900,000",55.2%
20,Insidious: The Red Door,"$188,785,257","$82,156,962",43.5%,"$106,628,295",56.5%
21,Teenage Mutant Ninja Turtles: Mutant Mayhem,"$179,225,583","$118,125,583",65.9%,"$61,100,000",34.1%
22,Scream VI,"$168,961,389","$108,161,389",64%,"$60,800,000",36%
23,The Equalizer 3,"$167,992,474","$89,448,133",53.2%,"$78,544,341",46.8%
24,Evil Dead Rise,"$146,733,054","$67,233,054",45.8%,"$79,500,000",54.2%
25,Shazam! Fury of the Gods,"$133,838,006","$57,638,006",43.1%,"$76,200,000",56.9%
26,Pathaan,"$128,780,000","$17,487,476",13.6%,"$95,095,974",73.8%
27,Blue Beetle,"$128,643,153","$71,843,153",55.8%,"$56,800,000",44.2%
28,Gran Turismo,"$117,243,827","$43,389,110",37%,"$73,854,717",63%
29,Haunted Mansion,"$115,670,892","$67,427,676",58.3%,"$48,243,216",41.7%
30,Detective Conan: Black Iron Submarine,"$106,464,725",-,-,"$106,464,725",100%
31,A Haunting in Venice,"$103,745,483","$36,668,763",35.3%,"$67,076,720",64.7%
32,PAW Patrol: The Mighty Movie,"$90,471,001","$42,271,001",46.7%,"$48,200,000",53.3%
33,Air,"$90,060,106","$52,460,106",58.3%,"$37,600,000",41.7%
34,Talk to Me,"$89,400,384","$48,105,234",53.8%,"$41,295,150",46.2%
35,Cocaine Bear,"$87,788,301","$64,388,510",73.3%,"$23,399,791",26.7%
36,No Hard Feelings,"$87,133,217","$50,452,282",57.9%,"$36,680,935",42.1%
37,The Roundup: No Way Out,"$83,423,445","$909,411",1.1%,"$82,514,034",98.9%
38,The Pope's Exorcist,"$76,664,075","$20,009,380",26.1%,"$56,654,695",73.9%
39,Plane,"$74,191,973","$32,111,181",43.3%,"$42,080,792",56.7%
